fecha;tipo_registro;depto_municipio;fecha_primer_caso;increm_casos;increm_muertes
19/12/2020;M;27615;26/06/2020;0.0000;0.0000
19/12/2020;M;23815;06/06/2020;0.0022;0.0022
19/12/2020;M;5308;13/06/2020;0.0122;0.0381
19/12/2020;M;5079;23/04/2020;0.0058;0.0197
19/12/2020;M;54518;10/05/2020;0.0039;0.0237
19/12/2020;M;5250;13/05/2020;0.0031;0.0031
19/12/2020;M;19256;26/04/2020;0.0000;0.0101
19/12/2020;M;8573;27/03/2020;0.0081;0.0197
19/12/2020;M;23686;17/06/2020;0.0037;0.0037
19/12/2020;M;18753;13/05/2020;0.0000;0.0020
19/12/2020;M;17174;22/03/2020;0.0131;0.0299
19/12/2020;M;17614;09/05/2020;0.0156;0.0415
19/12/2020;M;5147;25/05/2020;0.0029;0.0030
19/12/2020;M;70713;27/05/2020;0.0000;0.0000
19/12/2020;M;20400;02/05/2020;0.0033;0.0056
19/12/2020;M;73168;15/06/2020;0.0366;0.1518
19/12/2020;M;91001;17/04/2020;0.0003;0.0014
19/12/2020;M;44650;29/04/2020;0.0086;0.0273
19/12/2020;M;76233;29/04/2020;0.0078;0.0434
19/12/2020;M;81794;04/06/2020;0.0138;0.0263
19/12/2020;M;70670;09/06/2020;0.0022;0.0044
19/12/2020;M;23182;20/05/2020;0.0000;0.0000
19/12/2020;M;13442;05/05/2020;0.0000;0.0294
19/12/2020;M;15572;30/06/2020;0.0087;0.0200
19/12/2020;M;76563;12/05/2020;0.0043;0.0153
19/12/2020;M;23670;19/06/2020;0.0051;0.0051
19/12/2020;M;23068;05/06/2020;0.0000;0.0000
19/12/2020;M;25843;10/04/2020;0.0107;0.0331
19/12/2020;M;19517;25/07/2020;0.0000;0.0333
19/12/2020;M;13468;28/05/2020;0.0082;0.0222
19/12/2020;M;25817;27/03/2020;0.0147;0.0323
19/12/2020;M;52838;17/04/2020;0.0180;0.0374
19/12/2020;M;44279;10/05/2020;0.0000;0.0071
19/12/2020;M;5034;15/04/2020;0.0195;0.0964
19/12/2020;M;68406;06/06/2020;0.0057;0.0173
19/12/2020;M;5490;29/06/2020;0.0000;0.0082
19/12/2020;M;50568;13/05/2020;0.0047;0.0110
19/12/2020;M;23580;18/06/2020;0.0165;0.0210
19/12/2020;M;20060;24/04/2020;0.0070;0.0099
19/12/2020;M;19130;19/06/2020;0.0087;0.0177
19/12/2020;M;5887;08/06/2020;0.0078;0.0190
19/12/2020;M;76895;19/06/2020;0.0180;0.0583
19/12/2020;M;44090;15/05/2020;0.0000;0.0000
19/12/2020;M;19548;05/05/2020;0.0026;0.0431
19/12/2020;M;19573;17/04/2020;0.0000;0.0063
19/12/2020;M;19137;19/06/2020;0.0000;0.0114
19/12/2020;M;47053;15/05/2020;0.0000;0.0651
19/12/2020;M;76736;11/06/2020;0.0227;0.0498
19/12/2020;M;20250;23/05/2020;0.0030;0.0030
19/12/2020;M;5579;28/06/2020;0.0000;0.0082
19/12/2020;M;19473;05/07/2020;0.0000;0.0122
19/12/2020;M;20228;10/06/2020;0.0016;0.0031
19/12/2020;M;5736;09/07/2020;0.0000;0.0050
19/12/2020;M;47551;17/05/2020;0.0111;0.1726
19/12/2020;M;86320;25/05/2020;0.0101;0.0189
19/12/2020;M;13657;28/05/2020;0.0079;0.0327
19/12/2020;M;44078;02/06/2020;0.0088;0.0303
19/12/2020;M;73443;28/05/2020;0.0304;0.0671
19/12/2020;M;70429;14/06/2020;0.0000;0.0323
19/12/2020;M;19743;30/05/2020;0.0000;0.0040
19/12/2020;M;85010;19/06/2020;0.0042;0.0064
19/12/2020;M;5686;28/03/2020;0.0058;0.0153
19/12/2020;M;73449;13/04/2020;0.0102;0.0270
19/12/2020;M;63470;28/03/2020;0.0120;0.0329
19/12/2020;M;19532;02/06/2020;0.0000;0.0043
19/12/2020;M;85250;29/04/2020;0.0120;0.0163
19/12/2020;M;23675;14/06/2020;0.0093;0.0190
19/12/2020;M;52227;01/04/2020;0.0070;0.0361
19/12/2020;M;19100;23/08/2020;0.0000;0.0678
19/12/2020;M;25214;23/03/2020;0.0136;0.0376
19/12/2020;M;76622;01/05/2020;0.0106;0.0357
19/12/2020;M;19821;23/07/2020;0.0000;0.0000
19/12/2020;M;17042;02/04/2020;0.0045;0.0185
19/12/2020;M;86571;12/05/2020;0.0000;0.0058
19/12/2020;M;25740;23/04/2020;0.0000;0.0084
19/12/2020;M;5756;17/04/2020;0.0083;0.0298
19/12/2020;M;5697;11/04/2020;0.0064;0.0280
19/12/2020;M;23570;18/06/2020;0.0000;0.0058
19/12/2020;M;23855;09/06/2020;0.0000;0.0473
19/12/2020;M;19807;10/04/2020;0.0063;0.0227
19/12/2020;M;73411;19/05/2020;0.0992;0.1344
19/12/2020;M;20175;20/06/2020;0.0000;0.0057
19/12/2020;M;85440;13/05/2020;0.0132;0.0248
19/12/2020;M;25386;24/05/2020;0.0380;0.0648
19/12/2020;M;8634;23/04/2020;0.0087;0.0088
19/12/2020;M;23672;21/06/2020;0.0000;0.0082
19/12/2020;M;63401;08/04/2020;0.0070;0.0302
19/12/2020;M;15516;07/05/2020;0.0026;0.0314
19/12/2020;M;86865;25/05/2020;0.0000;0.0094
19/12/2020;M;13688;01/06/2020;0.0000;0.0022
19/12/2020;M;68655;15/06/2020;0.0051;0.0372
19/12/2020;M;76400;24/03/2020;0.0075;0.0677
19/12/2020;M;68190;09/04/2020;0.0052;0.0159
19/12/2020;M;73504;14/07/2020;0.0163;0.0513
19/12/2020;M;68575;23/06/2020;0.0000;0.0054
19/12/2020;M;70820;06/06/2020;0.0064;0.0163
19/12/2020;M;54003;02/05/2020;0.0098;0.0303
19/12/2020;M;41668;18/04/2020;0.0052;0.0105
